name,ring,quadrant,isNew,description
Openshift,current,platform,TRUE,"<p>The BC Gov OpenShift Container Platform Service is a multi-tenant container platform that government application development teams may use to develop and deploy modern, cloud native software applications. The service provides development teams with a set of isolated project spaces (namespaces) with associated resource quotas in which they can develop and deploy their applications and tools supporting their development lifecycle.  Openshift is the defacto platform for IIT's DevOps initiatives.</p>"
Amazon Web Services,emerging,platform,TRUE,"<p>Amazon Web Services (AWS) is a provider of IaaS (Infrastructure-as-a-Service) and PaaS (Platform-as-a-Service) for cloud ecosystems, which can be combined to create a scalable cloud application without worrying about delays related to infrastructure provisioning (compute, storage, and network) and management.  IIT is currently evaluating several public cloud services, including AWS.</p>"
Azure Web Services,emerging,platform,TRUE,"<p>Microsoft Azure, formerly known as Windows Azure, is Microsoft's public cloud computing platform. It provides a range of cloud services, including those for compute, analytics, storage and networking. IIT is currently evaluating several public cloud services, including Microsoft Azure.  OCIO has also provisioned Azure on premise appliances for DBaaS workloads and select Azure Cloud services.</p>"
Google Cloud,emerging,platform,TRUE,"<p>Google Cloud is a public cloud computing platform offered by Google, providing compute, managed services, container and API platforms and more.  IIT is currently evaluating several public cloud services, including Google Cloud.</p>"
IBM Cloud,emerging,platform,TRUE,"<p>IBM Cloud is a public cloud computing platform offered by IBM, providing compute, managed services, container and API platforms and more.  IIT is currently evaluating several public cloud services, including IBM Cloud.</p>"
Kubernetes,evaluate,platform,TRUE,"<p>Kubernetes (K8s) is an open-source system for automating deployment, scaling, and management of containerized applications. Managed Kubernetes services are available through all major public cloud providers.  IIT and OCIO are assessing interopablity between on premise Openshift and public cloud Kubernetes.</p>"
Red Hat Linux,current,platform,FALSE,"<p>Red Hat® Enterprise Linux® is one of the most popular Linux platforms, and the favored Linux platform offered by our hosting provider DXC. It’s the foundation from which you can scale existing apps—and roll out emerging technologies—across bare-metal, virtual, container, and all types of cloud environments.</p>"
Microsoft Windows,current,platform,FALSE,<p>Microsoft Windows is Microsoft's flagship operating system.  Windows is primarily used in IIT for COTS based applications where Linux is not supported.</p>
Oracle Solaris,avoid,platform,FALSE,"<p>Oracle Solaris is a Unix based platform acquired by Oracle as part of the Sun Microsystems purchase.  Prior to widespread adoption of Linux, IIT used the Solaris platform for database and middleware servers.  Solaris has been marked as end of life and IIT prefers Linux for all new builds.</p>"
WSO2 API,current,platform,FALSE,<p>IIT currently uses the community edition of WSO2 as a full API management platform.  Evaluation of other products such as 3Scale and Kong is currently underway.</p>
