name,ring,quadrant,isNew,description
3Scale API,evaluate,platform,TRUE,<p>3Scale is Red Hat's full scale API management platform.  An evaluation is currently underway in partnership with the BC DevExchange to look into enterprise scale API management.</p>
PostgreSQL,emerging,database,TRUE,<p>PostgreSQL is an open source relational database management system and is endorsed as an IIT preferred technology. Emerging LOB systems should target PostgreSQL for relational database management.</p>
Oracle ,current,database,FALSE,<p>Oracle database is a relational database management system (RDBMS) from the Oracle Corporation. Oracle has been widely used by IIT and continues to be a supported platform.  The Oracle database is licensed by the number of cores on the hosting server.</p>
Neo4j,evaluate,database,TRUE,"<p>Neo4j is a native graph database platform specifically optimized to map, store and traverse networks of highly connected data to reveal invisible contexts and hidden relationships.  IIT is currently assessing Neo4j for a stream network graph model.</p>"
SQL Server,current,database,FALSE,"<p>SQL Server is a relational database server by Microsoft. IIT has a sunstantial install base for SQL Server, most of which is to support smaller COTS applications.  SQL Server is a licensed product, either by CPU cores on the hosted server or a negotiated named user model.</p>"
MySQL,avoid,database,FALSE,<p>MySQL is an open-source relational database management system (RDBMS) that is stewarded by Oracle Corporation. IIT uses MySQL as an open source data store for COTS applications where PostgreSQL is not an option.</p>
Oracle Fusion Middleware,avoid,middleware,FALSE,"<p>Oracle Fusion Middleware is a middlware platform used by a large majority of legacy IIT applications.  It includes the Weblogic java server, the Unified Business and SOA suites (ISSS applications only) and Oracle Forms and Reports (deprecated).  Tomcat is preferred over OFM.</p>"
Apache Tomcat,current,middleware,FALSE,"<p>Apache Tomcat® is an open source implementation of the Java Servlet, JavaServer Pages, Java Expression Language and Java WebSocket technologies. Apache Tomcat is the middleware platform for all Oracle Fusion Middleware applications under transformation and all net new java based applications.</p>"
Oracle Webcenter,current,middleware,FALSE,"<p>IIT is using Oracle Webcenter for document management services.  A custom API exists such that IIT projects can integrate with Webcenter to provide document management as a common service.  Work is currently underway to evaluate OpenKM as a ""lift and shift"" replacement for WCC.</p>"
OpenKM,evaluate,middleware,TRUE,"<p>OpenKM is a management solution that allows businesses to control the production, storage, management and distribution of electronic documents.  IIT is currently evaluating OpenKM as a ""lift and shift"" replacement for Oracle Webcenter.</p>"
Metabase,evaluate,middleware,TRUE,<p>Metabase is an open source data visualization tool used to deliver business intelligence services.  IIT is currently evaluating Metabase on the Openshift platform.</p>
Jenkins,current,tools,FALSE,"<p>Jenkins is a popular open source automation server, Jenkins provides hundreds of plugins to support building, deploying and automating any project. Jenkins is widely used in IIT for build and deployment automation, in both mode 1 and mode 2 development patterns.</p>"
WebADE,avoid,tools,FALSE,"<p>The Web Application Development Environment (WebADE) is a J2EE application framework which aides in delivering common services required by corporate applications. The focus of WebADE is to provide applications with flexible and consistent authorization services in an enterprise environment. IIT uses WebADE in a large majority of its hosted applications, and is currently assessing KeyCloak as the next evolution of authentication and authorization services.</p>"
KeyCloak,emerging,tools,TRUE,"<p>Keycloak is an open source Identity and Access Management solution aimed at modern applications and services. It makes it easy to secure applications and services with little to no code. Projects being developed on the Openshift platform in the DevExchange are largely using Keycloak, and IIT is currently assessing Keycloak as a replacement for WebADE.</p>"
Ant,avoid,tools,FALSE,"<p>Apache Ant is a Java library and command-line tool used to drive processes described in build files as targets and extension points dependent upon each other. The main known usage of Ant is the build of Java applications. Ant supplies a number of built-in tasks allowing to compile, assemble, test and run Java applications. Ant was widely used to support build for legacy IIT applications but has been largely replaced by Maven.</p>"
Maven,current,tools,FALSE,"<p>Apache Maven is a software project management and comprehension tool. Based on the concept of a project object model (POM), Maven can manage a project's build, reporting and documentation from a central piece of information. This is the current IIT standard for build.</p>"
Jasper Reports,current,middleware,FALSE,"<p>JasperReports Server is a stand-alone and embeddable reporting server. It provides reporting and analytics that can be embedded into a web or mobile application as well as operate as a central information hub for the enterprise by delivering mission critical information on a real-time or scheduled basis to the browser, mobile device, or email inbox in a variety of file formats.  This is the standard reports engine for IIT.</p>"
Oracle Reports,avoid,middleware,FALSE,"<p>Oracle Reports, a component of Oracle Fusion Middleware, is Oracle's enterprise reporting tool. This technology has been deprecated by IIT.</p>"
Oracle Forms,avoid,middleware,FALSE,"<p>Oracle Forms, a component of Oracle Fusion Middleware, is Oracle's tool for creating and generating forms.  This technology has been deprecated by IIT in favor of Orbeon Forms.</p>"
Orbeon Forms,current,middleware,FALSE,<p>Orbeon forms is the IIT standard for building and deploying forms.  It includes complex validation and branch and skip capabilities.  IIT is currently using the community open source version of Orbeon forms.</p>
Oracle Designer,avoid,tools,FALSE,"<p>Oracle Designer provides a multi-user repository based on Oracle SCM, and is closely integrated with Oracle Forms Developer.  Oracle Designer has been used in IIT for several years and is currently being replaced by a more modern toolset.</p>"
Enterprise Architect,current,tools,FALSE,"<p>Enterprise Architect helps you trace high-level specifications to analysis, design, implementation, test and maintenance models using UML, SysML, BPMN and other open standards.  IIT transitioned to EA from Designer during ISSS development.  An assessment is currently underway to determine future usage of EA.  ER Studio is emerging as a new data model repository tool.</p>"
ER Studio,emerging,tools,TRUE,<p>ER Studio is IIT's emerging replacement for Oracle Designer and Enterprise Architect for managing relational data models.</p>
Subversion,avoid,tools,FALSE,<p>Subversion is an open source version control system used for legacy IIT applications.  IIT has transitioned all source code repositories to Github.</p>
Github,current,tools,FALSE,"<p>Github offers all of the distributed version control and source code management (SCM) functionality of Git as well as adding its own features. It provides access control and several collaboration features such as bug tracking, feature requests, task management, and wikis for every project.  Github is the IIT standard for source control.</p>"
Artifactory,current,tools,FALSE,<p>Artifactory is a Binary Repository Manager product from Jfrog.  IIT uses Artifactory in both mode 1 and mode 2 development models to track dependencies and library management.</p>
